Status,Position/Ticket,Symbol,Type,Volume,Open Price,Close Price,Pips,Duration (s),Swap,Commission,Profit,Net P/L,Magic,Comment,Open Time,Close Time
Closed,32311831,EURUSD.i,BUY,0.03,1.16135,1.16256,12.1,4290,0,-0.21,3.63,3.42,123,Market Master EA,2025.11.14 21:00:00,2025.11.14 22:11:30
Closed,27637766,EURUSD.i,SELL,0.03,1.16077,1.16671,-59.4,247363,0.69,-0.21,-17.82,-17.34,123,Market Master EA,2025.10.15 03:00:00,2025.10.17 23:42:43
Closed,27863095,EURUSD.i,SELL,0.06,1.16577,1.16671,-9.4,130232,0.28,-0.42,-5.64,-5.78,123,Market Master E[p=27637766],2025.10.16 11:32:11,2025.10.17 23:42:43
Closed,28087265,EURUSD.i,SELL,0.12,1.17077,1.16671,40.6,42669,0,-0.84,48.72,47.88,123,Market Master E[p=27637766],2025.10.17 11:51:33,2025.10.17 23:42:42
Closed,27505005,EURUSD.i,SELL,0.03,1.15921,1.15789,13.2,4408,0,-0.21,3.96,3.75,123,Market Master EA,2025.10.14 16:00:00,2025.10.14 17:13:28
Closed,27208891,EURUSD.i,SELL,0.03,1.16125,1.16003,12.2,4148,0,-0.21,3.66,3.45,123,Market Master EA,2025.10.11 03:00:00,2025.10.11 04:09:08
Closed,24633079,EURUSD.i,BUY,0.03,1.18364,1.18485,12.1,7749,0,-0.21,3.63,3.42,123,Market Master EA,2025.09.17 22:00:00,2025.09.18 00:09:09
Closed,24232745,EURUSD.i,BUY,0.03,1.1712,1.17239,11.9,3874,0,-0.21,3.57,3.36,123,Market Master EA,2025.09.13 00:00:00,2025.09.13 01:04:34
Closed,24208575,EURUSD.i,BUY,0.03,1.17175,1.17296,12.1,5261,0,-0.21,3.63,3.42,123,Market Master EA,2025.09.12 20:00:00,2025.09.12 21:27:41
Closed,23892917,EURUSD.i,BUY,0.03,1.17309,1.17129,-18,163889,-1.29,-0.21,-5.4,-6.9,123,Market Master EA,2025.09.10 02:00:00,2025.09.11 23:31:29
Closed,24095673,EURUSD.i,BUY,0.06,1.16812,1.17117,30.5,10243,0,-0.42,18.3,17.88,123,Market Master E[p=23892917],2025.09.11 20:40:46,2025.09.11 23:31:29
Closed,22570379,EURUSD.i,BUY,0.03,1.16693,1.16486,-20.7,29672,-0.32,-0.21,-6.21,-6.74,123,Market Master EA,2025.08.26 03:00:00,2025.08.26 11:14:32
Closed,22585339,EURUSD.i,BUY,0.06,1.16193,1.16487,29.4,4339,0,-0.42,17.64,17.22,123,Market Master E[p=22570379],2025.08.26 10:02:13,2025.08.26 11:14:32
Closed,22063395,EURUSD.i,BUY,0.03,1.16811,1.16615,-19.6,189122,-0.64,-0.21,-5.88,-6.73,123,Market Master EA,2025.08.18 19:00:00,2025.08.20 23:32:02
Closed,22221422,EURUSD.i,BUY,0.06,1.16309,1.1661,30.1,39914,0,-0.42,18.06,17.64,123,Market Master E[p=22063395],2025.08.20 12:26:48,2025.08.20 23:32:02
Closed,21896856,EURUSD.i,BUY,0.03,1.16641,1.16765,12.4,65099,-0.32,-0.21,3.72,3.19,123,Market Master EA,2025.08.15 00:00:00,2025.08.15 18:04:59
Closed,21855156,EURUSD.i,BUY,0.03,1.1685,1.16972,12.2,13121,0,-0.21,3.66,3.45,123,Market Master EA,2025.08.14 18:00:00,2025.08.14 21:38:41
Closed,21580070,EURUSD.i,BUY,0.03,1.16203,1.16341,13.8,84605,-0.32,-0.21,4.14,3.61,123,Market Master EA,2025.08.12 00:00:00,2025.08.12 23:30:05
Closed,21365287,EURUSD.i,BUY,0.03,1.16244,1.16367,12.3,2092,0,-0.21,3.69,3.48,123,Market Master EA,2025.08.08 02:00:00,2025.08.08 02:34:52
Closed,20956848,EURUSD.i,SELL,0.03,1.15477,1.15358,11.9,14490,0,-0.21,3.57,3.36,123,Market Master EA,2025.08.02 00:00:00,2025.08.02 04:01:30
Closed,20445919,EURUSD.i,BUY,0.03,1.17211,1.17332,12.1,8400,0,-0.21,3.63,3.42,123,Market Master EA,2025.07.25 23:00:00,2025.07.26 01:20:00
Closed,20368442,EURUSD.i,BUY,0.03,1.17362,1.17483,12.1,396,0,-0.21,3.63,3.42,123,Market Master EA,2025.07.25 00:00:00,2025.07.25 00:06:36
Closed,19959187,EURUSD.i,SELL,0.03,1.16246,1.16127,11.9,16393,0,-0.21,3.57,3.36,123,Market Master EA,2025.07.18 12:00:00,2025.07.18 16:33:13
Closed,19153846,EURUSD.i,BUY,0.03,1.17561,1.17355,-20.6,57600,-0.32,-0.21,-6.18,-6.71,123,Market Master EA,2025.07.07 18:00:00,2025.07.08 10:00:00
Closed,19206686,EURUSD.i,BUY,0.06,1.17057,1.17355,29.8,22338,-0.65,-0.42,17.88,16.81,123,Market Master E[p=19153846],2025.07.08 03:47:42,2025.07.08 10:00:00
Closed,19055621,EURUSD.i,BUY,0.03,1.17532,1.17652,12,1692,0,-0.21,3.6,3.39,123,Market Master EA,2025.07.04 02:00:00,2025.07.04 02:28:12
Closed,19037845,EURUSD.i,BUY,0.03,1.17379,1.17499,12,842,0,-0.21,3.6,3.39,123,Market Master EA,2025.07.04 00:00:00,2025.07.04 00:14:02
Closed,18940162,EURUSD.i,BUY,0.03,1.17496,1.17644,14.8,910,0,-0.21,4.44,4.23,123,Market Master EA,2025.07.02 23:00:00,2025.07.02 23:15:10
Closed,17931722,EURUSD.i,BUY,0.03,1.15267,1.1539,12.3,4442,0,-0.21,3.69,3.48,123,Market Master EA,2025.06.18 02:00:00,2025.06.18 03:14:02
Closed,17691154,EURUSD.i,BUY,0.03,1.15254,1.15372,11.8,560,0,-0.21,3.54,3.33,123,Market Master EA,2025.06.13 16:00:00,2025.06.13 16:09:20
Closed,17399239,EURUSD.i,BUY,0.03,1.13961,1.1408,11.9,12150,0,-0.21,3.57,3.36,123,Market Master EA,2025.06.10 13:00:00,2025.06.10 16:22:30
Closed,17277562,EURUSD.i,BUY,0.03,1.13967,1.14088,12.1,4617,0,-0.21,3.63,3.42,123,Market Master EA,2025.06.07 00:00:00,2025.06.07 01:16:57
