Status,Position/Ticket,Symbol,Type,Volume,Open Price,Close Price,Pips,Duration (s),Swap,Commission,Profit,Net P/L,Magic,Comment,Open Time,Close Time
Closed,317660539,EURUSD,SELL,0.01,1.1734,1.17263,7.699999999999374,928,0,0,0.77,0.77,11333,EUROSTABLE V3.3 EA[tp],2026.04.11 01:30:02,2026.04.11 01:45:30
Closed,317637580,EURUSD,SELL,0.01,1.1698,1.1693,4.999999999999449,12629,0.02,0,0.5,0.52,11333,EUROSTABLE V3.3 EA[tp],2026.04.10 07:15:02,2026.04.10 10:45:31
Closed,317635041,EURUSD,SELL,0.01,1.17031,1.16978,5.299999999999194,6690,0,0,0.53,0.53,11333,EUROSTABLE V3.3 EA[tp],2026.04.10 05:15:02,2026.04.10 07:06:32
Closed,317633058,EURUSD,SELL,0.01,1.17152,1.17076,7.599999999998719,2949,0,0,0.76,0.76,11333,EUROSTABLE V3.3 EA[tp],2026.04.10 04:15:02,2026.04.10 05:04:11
Closed,317632616,EURUSD,SELL,0.01,1.17101,1.17076,2.500000000000835,3848,0,0,0.25,0.25,11333,EUROSTABLE V3.3 EA[tp],2026.04.10 04:00:03,2026.04.10 05:04:11
Closed,317601891,EURUSD,SELL,0.01,1.16682,1.16537,14.499999999999513,15134,0.07,0,1.45,1.52,11333,EUROSTABLE V3.3 EA[tp],2026.04.09 07:00:04,2026.04.09 11:12:18
Closed,317601586,EURUSD,SELL,0.01,1.16593,1.16537,5.599999999998939,16036,0.07,0,0.56,0.63,11333,EUROSTABLE V3.3 EA[tp],2026.04.09 06:45:02,2026.04.09 11:12:18
Closed,317600643,EURUSD,SELL,0.01,1.16489,1.16537,-4.8000000000003595,18736,0.07,0,-0.48,-0.41,11333,EUROSTABLE V3.3 EA[tp],2026.04.09 06:00:02,2026.04.09 11:12:18
Closed,317600165,EURUSD,SELL,0.01,1.16573,1.16521,5.199999999998539,383,0,0,0.52,0.52,11333,EUROSTABLE V3.3 EA[tp],2026.04.09 05:45:02,2026.04.09 05:51:25
Closed,317599586,EURUSD,SELL,0.01,1.16667,1.16598,6.900000000000794,585,0,0,0.69,0.69,11333,EUROSTABLE V3.3 EA[tp],2026.04.09 05:30:02,2026.04.09 05:39:47
Closed,317598857,EURUSD,SELL,0.01,1.16778,1.16693,8.500000000000174,220,0,0,0.85,0.85,11333,EUROSTABLE V3.3 EA[tp],2026.04.09 05:15:02,2026.04.09 05:18:42
Closed,317598517,EURUSD,SELL,0.01,1.16719,1.16694,2.4999999999986144,1120,0,0,0.25,0.25,11333,EUROSTABLE V3.3 EA[tp],2026.04.09 05:00:02,2026.04.09 05:18:42
Closed,317597694,EURUSD,SELL,0.01,1.16752,1.16698,5.399999999999849,454,0,0,0.54,0.54,11333,EUROSTABLE V3.3 EA[tp],2026.04.09 04:30:02,2026.04.09 04:37:36
Closed,317596798,EURUSD,SELL,0.01,1.16806,1.16762,4.3999999999999595,1329,0,0,0.44,0.44,11333,EUROSTABLE V3.3 EA[tp],2026.04.09 04:00:02,2026.04.09 04:22:11
Closed,317585060,EURUSD,SELL,0.01,1.17062,1.16913,14.899999999999913,7682,0,0,1.49,1.49,11333,EUROSTABLE V3.3 EA[tp],2026.04.08 22:30:02,2026.04.09 00:38:04
Closed,317584455,EURUSD,SELL,0.01,1.16951,1.16911,3.9999999999995595,8582,0,0,0.4,0.4,11333,EUROSTABLE V3.3 EA[tp],2026.04.08 22:15:02,2026.04.09 00:38:04
Closed,317588122,EURUSD,SELL,0.01,1.1714,1.16909,23.100000000000342,3182,0,0,2.31,2.31,11333,EUROSTABLE V3.3 EA[tp],2026.04.08 23:45:02,2026.04.09 00:38:04
Closed,317580085,EURUSD,SELL,0.01,1.16805,1.16909,-10.399999999999299,16682,0,0,-1.04,-1.04,11333,EUROSTABLE V3.3 EA[tp],2026.04.08 20:00:02,2026.04.09 00:38:04
Closed,317582605,EURUSD,SELL,0.01,1.16866,1.16909,-4.299999999999304,12181,0,0,-0.43,-0.43,11333,EUROSTABLE V3.3 EA[tp],2026.04.08 21:15:03,2026.04.09 00:38:04
Closed,317574452,EURUSD,SELL,0.01,1.17022,1.16796,22.599999999999287,2588,0,0,2.26,2.26,11333,EUROSTABLE V3.3 EA[tp],2026.04.08 17:30:02,2026.04.08 18:13:10
Closed,317570638,EURUSD,SELL,0.01,1.16775,1.16796,-2.100000000000435,10688,0,0,-0.21,-0.21,11333,EUROSTABLE V3.3 EA[tp],2026.04.08 15:15:02,2026.04.08 18:13:10
Closed,317573396,EURUSD,SELL,0.01,1.16914,1.16797,11.700000000001154,4388,0,0,1.17,1.17,11333,EUROSTABLE V3.3 EA[tp],2026.04.08 17:00:02,2026.04.08 18:13:10
Closed,317569923,EURUSD,SELL,0.01,1.16694,1.16797,-10.299999999998644,13388,0,0,-1.03,-1.03,11333,EUROSTABLE V3.3 EA[tp],2026.04.08 14:30:02,2026.04.08 18:13:10
Closed,317572040,EURUSD,SELL,0.01,1.16842,1.16797,4.500000000000615,6188,0,0,0.45,0.45,11333,EUROSTABLE V3.3 EA[tp],2026.04.08 16:30:02,2026.04.08 18:13:10
Closed,317568541,EURUSD,SELL,0.01,1.16739,1.16688,5.1000000000001044,3171,0,0,0.51,0.51,11333,EUROSTABLE V3.3 EA[tp],2026.04.08 13:30:02,2026.04.08 14:22:53
Closed,317567264,EURUSD,SELL,0.01,1.16855,1.1673,12.499999999999734,3139,0,0,1.25,1.25,11333,EUROSTABLE V3.3 EA[tp],2026.04.08 12:30:02,2026.04.08 13:22:21
Closed,317566210,EURUSD,SELL,0.01,1.1671,1.1673,-1.9999999999997797,4939,0,0,-0.2,-0.2,11333,EUROSTABLE V3.3 EA[tp],2026.04.08 12:00:02,2026.04.08 13:22:21
Closed,317566647,EURUSD,SELL,0.01,1.16774,1.1673,4.3999999999999595,4039,0,0,0.44,0.44,11333,EUROSTABLE V3.3 EA[tp],2026.04.08 12:15:02,2026.04.08 13:22:21
Closed,317416744,EURUSD,SELL,0.01,1.15917,1.15801,11.600000000000499,10312,0,0,1.16,1.16,11333,EUROSTABLE V3.3 EA[tp],2026.04.02 09:15:05,2026.04.02 12:06:57
Closed,317414841,EURUSD,SELL,0.01,1.15857,1.15802,5.5000000000005045,19314,0.06,0,0.55,0.61,11333,EUROSTABLE V3.3 EA[tp],2026.04.02 06:45:03,2026.04.02 12:06:57
Closed,317413771,EURUSD,SELL,0.01,1.15781,1.15802,-2.100000000000435,22015,0.06,0,-0.21,-0.15,11333,EUROSTABLE V3.3 EA[tp],2026.04.02 06:00:02,2026.04.02 12:06:57
Closed,317413242,EURUSD,SELL,0.01,1.15864,1.15809,5.499999999998284,858,0,0,0.55,0.55,11333,EUROSTABLE V3.3 EA[tp],2026.04.02 05:45:02,2026.04.02 05:59:20
Closed,317412654,EURUSD,SELL,0.01,1.15835,1.15787,4.8000000000003595,439,0,0,0.48,0.48,11333,EUROSTABLE V3.3 EA[tp],2026.04.02 05:30:02,2026.04.02 05:37:21
Closed,317411343,EURUSD,SELL,0.01,1.15932,1.15882,4.999999999999449,979,0,0,0.5,0.5,11333,EUROSTABLE V3.3 EA[tp],2026.04.02 05:00:02,2026.04.02 05:16:21
Closed,317410925,EURUSD,SELL,0.01,1.16045,1.15995,4.999999999999449,405,0,0,0.5,0.5,11333,EUROSTABLE V3.3 EA[tp],2026.04.02 04:45:03,2026.04.02 04:51:48
Closed,317391914,EURUSD,SELL,0.01,1.15832,1.15985,-15.300000000000313,29143,0,0,-1.53,-1.53,11333,EUROSTABLE V3.3 EA[tp],2026.04.01 20:30:03,2026.04.02 04:35:46
